app,teks,rating,sentimen,teks_bersih
com.shopee.id,"BANYAK IKLANNYA,BUKA APLIKASI LAIN TAPI IKLAN SELALU MUNCUL APK INI,MUAK BGT",1,Negatif,banyak iklannya buka aplikasi lain tapi iklan selalu muncul aplikasi ini muak banget
com.shopee.id,aplikasi belanja yang mantap,5,Positif,aplikasi belanja yang mantap
com.shopee.id,"aplikasi nya bagus selalu ada kejutan harga murah , sangat recommended yang hobi belanja online 🫰👏",5,Positif,aplikasi nya bagus selalu ada kejutan harga murah sangat recommended yang hobi belanja online
com.shopee.id,sangat membantu yg malas keluar beli,5,Positif,sangat membantu yang malas keluar beli
com.shopee.id,z pemula admin jadi z coba dulu semoga pesanan yang z mau betul terkirim dan sampai ketangan z dengan bayar COD. z kasi Bintang 3 dulu klw kirimkan sampai dgn z baru Z kasi Bintang 5 tanda z percaya kalau ini aplikasi betul-betul membatu..,3,Netral,saya pemula admin jadi saya coba dulu semoga pesanan yang saya mau betul terkirim dan sampai ketangan saya dengan bayar cod saya kasi bintang dulu kalau kirimkan sampai dengan saya baru saya kasi bintang tanda saya percaya kalau ini aplikasi betul betul membatu
com.shopee.id,mantap,5,Positif,mantap
com.shopee.id,"pengalaman buruk.pesanan tidak diantar tepat waktu,kurir bilang datang berkali kali.tp saya berada ditempat sampai saya dimaki2 kurir shopie saat mengantar barang saya sampai barang pesanan saya dijual keorang lain",1,Negatif,pengalaman buruk pesanan tidak diantar tepat waktu kurir bilang datang berkali kali tapi saya berada ditempat sampai saya dimaki kurir shopie saat mengantar barang saya sampai barang pesanan saya dijual keorang lain
com.shopee.id,"suka belanja di shopee mudah dan gampang di pahami, tapi sayang nya misi nontonku gak bisa di klaim katanya aktivitas mencur igakan otomatis saya gak bisa cari koin buat di tabung kan lumayan klw ada koin kalau mau belanja bisa motong koin ... tolong donk",3,Positif,suka belanja di shopee mudah dan gampang di pahami tapi sayang nya misi nontonku tidak bisa di klaim katanya aktivitas mencur igakan otomatis saya tidak bisa cari koin buat di tabung kan lumayan kalau ada koin kalau mau belanja bisa motong koin tolong donk
com.shopee.id,tolong pengirimannya di percepat ..,4,Netral,tolong pengirimannya di percepat
com.shopee.id,qopp,1,Netral,qopp
com.shopee.id,parah !!! jelas² paket kosong !!! unboxing tanpa jeda !!! shopee makin kesini pelayanannya semakin parah !!! tidak ada perlindungan konsumen,1,Netral,parah jelas paket kosong unboxing tanpa jeda shopee makin kesini pelayanannya semakin parah tidak ada perlindungan konsumen
com.shopee.id,shopi lelet,1,Netral,shopi lelet
com.shopee.id,pakek aplikasi shopee belanja semakin nyaman dan mudah 👍👍👍,5,Positif,pakek aplikasi shopee belanja semakin nyaman dan mudah
com.shopee.id,banyak iklan,1,Negatif,banyak iklan
com.shopee.id,belanja di shopee lebih murah lebih hemat untuk bisnis lebih menguntungkan,5,Netral,belanja di shopee lebih murah lebih hemat untuk bisnis lebih menguntungkan
com.shopee.id,"bagus banget aplikasi saya kasih 3 dulu, cuma mau minta tolong mau login akun lama tapi lupa password nah pas klik buka terus verifikasi lewat WhatsApp malah tetep harus verifikasi password, kalo saya inget ga mungkin klik lupa password, saya mau ngambil saldo shopePay yang dikirimkan temen saya, tolong bantuannya terima kasih",3,Positif,bagus banget aplikasi saya kasih dulu cuma mau minta tolong mau login akun lama tapi lupa password nah pas klik buka terus verifikasi lewat whatsapp malah tetep harus verifikasi password kalo saya inget tidak mungkin klik lupa password saya mau ngambil saldo shopepay yang dikirimkan temen saya tolong bantuannya terima kasih
com.shopee.id,IKLAN LU BANYAK BANGET😮‍💨😮‍💨😮‍💨😫,1,Negatif,iklan lu banyak banget
com.shopee.id,Sopi adalh yang terbaik dalam belanjaan,5,Netral,sopi adalh yang terbaik dalam belanjaan
com.shopee.id,"Sangat bagus apalagi kalo sering ada promo diskon wkwkw, sering "" lah diskon biar tambah bagus hahaha",5,Positif,sangat bagus apalagi kalo sering ada promo diskon wkwkw sering lah diskon biar tambah bagus hahaha
com.shopee.id,Bikin mudah,5,Positif,bikin mudah
com.shopee.id,jual beli di shopee sangat menyenangkan. terimakasih shopee sudah sangat membatu saya selama ini.,5,Netral,jual beli di shopee sangat menyenangkan terimakasih shopee sudah sangat membatu saya selama ini
